URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,IsHTTPS,Bank,Pay,Crypto,SuspiciousWords,URLDepth,AvgTokenLength,label
54,33,0,3,4,31,0.574,13,0.241,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,4.889,0
28,17,0,2,2,21,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.5,1
26,14,0,3,1,20,0.769,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
40,28,0,3,1,32,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.571,1
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
40,14,0,3,1,33,0.825,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,5.5,0
31,18,0,3,2,22,0.71,2,0.065,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.8,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
48,36,0,2,3,41,0.854,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.2,0
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
32,21,0,3,2,26,0.812,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.2,0
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
29,19,0,2,2,23,0.793,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.6,0
46,35,0,2,3,39,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,7.8,0
137,21,0,2,2,94,0.686,24,0.175,1,0,0,0,0.0,0,0,0.0,0,0,0,0,0,9,6.556,0
41,9,0,2,1,17,0.415,16,0.39,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.714,0
15,5,0,2,1,10,0.667,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2.5,0
35,24,0,2,2,28,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.667,1
98,69,0,4,3,82,0.837,8,0.082,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,12.857,0
86,10,0,2,2,68,0.791,11,0.128,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,13.167,0
75,23,0,3,1,64,0.853,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,5,6.4,0
34,23,0,2,1,29,0.853,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.25,0
24,13,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.75,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
32,20,0,3,1,26,0.812,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.2,1
23,12,0,3,1,16,0.696,2,0.087,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.5,0
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
29,18,0,2,3,22,0.759,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.667,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
75,24,0,3,2,64,0.853,4,0.053,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,11.333,0
33,22,0,2,2,27,0.818,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.4,1
26,6,0,2,2,16,0.615,4,0.154,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.0,0
28,17,0,2,2,22,0.786,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.4,1
23,12,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.5,0
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
21,10,0,2,2,15,0.714,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.0,1
64,13,0,2,1,51,0.797,3,0.047,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,4,6.0,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
73,31,0,2,1,63,0.863,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,3,7.875,0
22,9,0,4,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
34,22,0,3,1,29,0.853,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.25,1
26,15,0,2,3,19,0.731,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.167,1
21,10,0,3,1,12,0.571,4,0.19,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
25,15,0,2,2,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.8,0
23,12,0,2,1,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.4,1
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
24,13,0,2,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
20,9,0,3,1,10,0.5,5,0.25,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.75,0
41,29,0,3,1,36,0.878,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,9.0,1
28,17,0,3,1,19,0.679,4,0.143,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.75,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
19,8,0,3,1,13,0.684,1,0.053,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.5,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
32,21,0,2,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
25,14,0,3,1,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.8,0
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
26,13,0,3,2,18,0.692,2,0.077,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,0
23,11,0,3,2,16,0.696,1,0.043,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.25,0
45,26,0,3,2,35,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,3.889,0
51,39,0,2,2,44,0.863,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.8,0
16,6,0,2,1,11,0.688,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2.75,0
34,22,0,3,1,29,0.853,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.25,1
27,15,0,3,1,21,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.2,1
220,13,0,3,2,166,0.755,28,0.127,5,1,4,0,0.0,0,0,0.0,0,0,0,0,0,2,8.435,0
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
20,4,0,2,1,13,0.65,2,0.1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,3.75,0
29,18,0,3,2,19,0.655,4,0.138,0,0,0,0,0.0,1,1,0.045,0,0,0,0,0,0,4.6,0
25,13,0,4,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
22,11,0,2,2,16,0.727,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.2,1
39,26,0,3,2,31,0.795,2,0.051,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.25,0
60,48,0,3,4,50,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.25,0
29,18,0,2,2,23,0.793,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.6,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
24,13,0,2,1,18,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.6,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
25,14,0,3,2,17,0.68,2,0.08,0,0,0,0,0.0,1,1,0.056,0,0,0,0,0,0,3.8,0
25,14,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,1,0,0,5.25,1
37,26,0,2,2,30,0.811,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
100,72,0,3,3,85,0.85,6,0.06,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,11.375,0
29,17,0,3,2,23,0.793,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.6,1
26,14,0,3,1,20,0.769,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
27,16,0,2,2,21,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.2,1
72,34,0,2,2,57,0.792,1,0.014,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.462,0
43,33,0,2,3,35,0.814,1,0.023,0,0,0,0,0.0,1,1,0.028,0,0,0,0,0,0,6.0,0
51,18,0,2,1,39,0.765,2,0.039,0,0,0,0,0.0,1,1,0.048,1,0,0,0,1,2,5.125,0
31,18,0,3,2,23,0.742,2,0.065,0,0,0,0,0.0,1,1,0.045,1,0,0,0,0,0,6.25,0
19,9,0,2,1,13,0.684,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2.6,0
43,32,0,2,2,36,0.837,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.2,0
27,16,0,2,3,20,0.741,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.333,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
26,15,0,2,3,19,0.731,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.167,1
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
76,20,0,3,3,63,0.829,1,0.013,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,5.818,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
23,12,0,2,2,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.4,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
27,16,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.5,0
85,72,0,3,3,69,0.812,8,0.094,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,12.833,0
26,15,0,2,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
28,17,0,2,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
23,12,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.5,0
26,15,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.25,0
21,8,0,4,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
23,4,0,2,1,16,0.696,2,0.087,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.5,0
48,35,0,3,2,28,0.583,14,0.292,0,0,0,0,0.0,1,4,0.103,1,0,0,0,0,0,10.5,0
35,6,0,3,1,28,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,4.667,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
36,24,0,3,1,31,0.861,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.75,1
70,12,0,3,2,38,0.543,23,0.329,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,2,7.625,0
28,17,0,2,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
32,20,0,3,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
37,25,0,3,1,32,0.865,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.0,1
27,15,0,3,1,21,0.778,1,0.037,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
36,24,0,3,1,31,0.861,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.75,1
47,36,0,3,1,42,0.894,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,10.5,0
23,11,0,3,1,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.4,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
24,12,0,3,1,18,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.6,1
20,9,0,2,1,15,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.75,1
21,10,0,3,1,14,0.667,2,0.095,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
27,16,0,2,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
30,19,0,2,2,24,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.8,1
54,42,0,2,3,47,0.87,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,9.4,0
19,7,0,3,1,14,0.737,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.5,1
36,25,0,3,2,27,0.75,3,0.083,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.0,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
23,13,0,2,2,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.4,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
27,16,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.5,0
26,15,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.25,0
26,15,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.25,0
53,17,0,2,2,46,0.868,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,7.667,0
49,35,0,4,3,28,0.571,10,0.204,0,0,0,0,0.0,1,2,0.05,1,0,0,0,0,0,4.222,0
25,14,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
31,19,0,3,1,25,0.806,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.25,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
31,20,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.5,0
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
22,11,0,3,2,16,0.727,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.2,0
54,32,0,3,3,43,0.796,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,2,2,4.3,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
21,9,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
33,21,0,3,1,27,0.818,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.4,1
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
34,22,0,3,1,29,0.853,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.25,1
26,15,0,3,2,20,0.769,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
27,17,0,2,2,20,0.741,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.333,0
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
29,2,0,2,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,6.0,0
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
24,14,0,2,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.75,0
32,20,0,3,1,26,0.812,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.2,1
18,7,0,2,1,13,0.722,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.25,1
20,9,0,2,1,14,0.7,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,2.8,1
21,9,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
23,12,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.5,0
28,17,0,2,2,21,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.5,1
25,14,0,3,2,18,0.72,1,0.04,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.8,0
36,24,0,3,1,31,0.861,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.75,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
22,11,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.25,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
26,15,0,2,2,20,0.769,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
31,20,0,2,2,25,0.806,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
35,23,0,3,1,30,0.857,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.5,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
23,12,0,2,2,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.4,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
32,21,0,2,2,26,0.812,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.2,1
93,68,0,4,3,82,0.882,3,0.032,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,12.143,0
40,28,0,3,1,34,0.85,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.8,1
38,25,0,3,2,26,0.684,6,0.158,0,0,0,0,0.0,1,3,0.103,1,0,0,0,0,0,8.0,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
21,9,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
29,19,0,2,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.0,0
28,12,0,2,2,21,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.2,0
36,24,0,3,1,31,0.861,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.75,1
35,22,0,3,2,22,0.629,6,0.171,0,0,0,0,0.0,1,3,0.115,1,0,0,0,0,0,5.6,0
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
35,23,0,3,1,30,0.857,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.5,1
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
21,9,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
110,11,0,3,2,91,0.827,4,0.036,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,5,6.786,0
27,17,0,2,2,14,0.519,7,0.259,0,0,0,0,0.0,1,1,0.05,0,0,0,0,0,0,4.2,0
22,12,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.25,0
25,14,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
40,29,0,3,3,30,0.75,3,0.075,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.5,0
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
21,10,0,2,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
23,12,0,2,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
32,20,0,3,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
21,9,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
29,5,0,3,1,23,0.793,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.6,0
